"FORMAL","ESTRATO","DEPARTAMENTO","SEXO","ESTADO_CIVIL","TRAB_VEN","EDAD","HORAS_TRAB_SEM","INGRESO_D","INGRESO_E"
"Sí","Alto","ANCASH","Hombre","Conviviente","Sí",36,0,800,150
NA,"Alto","ANCASH","Hombre","Casado/a","Sí",62,70,NA,NA
"No","Medio alto","ANCASH","Mujer","Soltero/a","No",33,48,400,150
"Sí","Alto","ANCASH","Hombre","Soltero/a","Sí",24,72,380,72
"Sí","Medio alto","ANCASH","Hombre","Conviviente","Sí",28,70,350,0
"No","Medio","ANCASH","Mujer","Conviviente","Sí",46,72,40,7
"No","Medio","ANCASH","Hombre","Conviviente","Sí",53,72,400,25
"No","Medio","ANCASH","Hombre","Separado","No",16,20,120,0
NA,"Medio alto","ANCASH","Hombre","Conviviente","Sí",33,72,NA,NA
NA,"Medio alto","ANCASH","Hombre","Conviviente","Sí",35,70,NA,NA
NA,"Medio alto","ANCASH","Mujer","Conviviente","Sí",30,48,NA,NA
NA,"Medio alto","ANCASH","Hombre","Conviviente","Sí",34,94,NA,NA
NA,"Medio alto","ANCASH","Mujer","Conviviente","Sí",25,84,NA,NA
NA,"Medio","ANCASH","Hombre","Conviviente","Sí",45,60,NA,NA
"No","Medio","ANCASH","Mujer","Conviviente","Sí",38,48,240,42
"No","Medio","ANCASH","Mujer","Conviviente","Sí",33,54,350,49
NA,"Medio","ANCASH","Hombre","Conviviente","Sí",35,84,NA,NA
NA,"Medio alto","ANCASH","Hombre","Conviviente","Sí",28,70,NA,NA
"Sí","Medio","ANCASH","Hombre","Casado/a","Sí",47,44,300,0
"No","Medio","ANCASH","Mujer","Conviviente","No",38,36,2003,0
"No","Medio","ANCASH","Hombre","Soltero/a","No",19,40,180,35
"No","Medio","ANCASH","Hombre","Soltero/a","No",17,40,180,42
NA,"Medio bajo","ANCASH","Hombre","Conviviente","Sí",30,72,NA,NA
"No","Medio bajo","ANCASH","Hombre","Conviviente","No",22,72,250,48
"No","Medio bajo","ANCASH","Mujer","Conviviente","No",18,66,35,0
"Sí","Medio bajo","ANCASH","Mujer","Separado","Sí",47,77,550,0
"No","Medio bajo","ANCASH","Hombre","Soltero/a","No",14,48,50,0
"No","Medio bajo","ANCASH","Mujer","Conviviente","Sí",21,54,120,0
"No","Medio bajo","ANCASH","Hombre","Conviviente","No",21,54,300,0
"No","Medio bajo","ANCASH","Hombre","Soltero/a","Sí",30,0,400,0
"No","Medio bajo","ANCASH","Mujer","Soltero/a","No",19,60,280,0
"No","Medio bajo","ANCASH","Hombre","Conviviente","No",22,54,300,36
"No","Medio bajo","ANCASH","Mujer","Soltero/a","Sí",35,0,287,0
"No","Medio bajo","ANCASH","Hombre","Conviviente","Sí",24,71,300,0
"No","Medio bajo","ANCASH","Mujer","Conviviente","No",22,62,220,0
NA,"Medio bajo","ANCASH","Hombre","Separado","Sí",31,64,NA,NA
"No","Medio bajo","ANCASH","Hombre","Conviviente","No",23,78,250,0
"No","Medio bajo","ANCASH","Hombre","Conviviente","Sí",22,60,250,0
"No","Medio bajo","ANCASH","Mujer","Conviviente","No",21,83,460,0
"No","Medio bajo","ANCASH","Hombre","Conviviente","Sí",45,54,320,0
"No","Medio bajo","ANCASH","Mujer","Conviviente","Sí",43,48,250,0
"No","Medio bajo","ANCASH","Mujer","Soltero/a","No",18,48,200,0
NA,"Medio bajo","ANCASH","Hombre","Conviviente","Sí",31,54,NA,NA
NA,"Medio bajo","ANCASH","Mujer","Conviviente","Sí",28,54,NA,NA
"No","Medio","ANCASH","Hombre","Casado/a","Sí",55,0,250,30
"No","Medio","ANCASH","Mujer","Casado/a","Sí",47,27,180,0
"Sí","Medio","ANCASH","Hombre","Soltero/a","No",26,60,960,0
"No","Medio","ANCASH","Hombre","Soltero/a","No",21,54,300,0
"No","Medio bajo","ANCASH","Hombre","Separado","Sí",40,58,500,0
"No","Medio bajo","ANCASH","Mujer","Soltero/a","Sí",22,48,700,42
NA,"Medio","ANCASH","Hombre","Conviviente","Sí",41,48,NA,NA
"No","Medio","ANCASH","Hombre","Soltero/a","Sí",31,54,80,7
NA,"Medio","ANCASH","Hombre","Conviviente","No",25,66,NA,NA
"No","Medio","ANCASH","Mujer","Conviviente","No",28,77,35,6
"No","Medio bajo","ANCASH","Hombre","Conviviente","Sí",29,73,400,36
"No","Medio bajo","ANCASH","Hombre","Soltero/a","Sí",25,72,350,60
"No","Medio alto","ANCASH","Hombre","Conviviente","No",20,66,215,42
"No","Medio alto","ANCASH","Mujer","Conviviente","Sí",24,77,196,35
"No","Medio alto","ANCASH","Mujer","Separado","Sí",48,91,31,8
NA,"Medio","ANCASH","Hombre","Conviviente","Sí",22,84,NA,NA
NA,"Medio","ANCASH","Mujer","Conviviente","No",22,0,NA,NA
"No","Medio","ANCASH","Mujer","Separado","Sí",41,56,300,0
"No","Medio","ANCASH","Hombre","Soltero/a","No",17,48,200,0
"No","Medio","ANCASH","Hombre","Casado/a","No",30,63,63,0
"No","Medio","ANCASH","Mujer","Casado/a","No",29,72,345,0
NA,"Medio","ANCASH","Hombre","Separado","Sí",30,32,NA,NA
"No","Medio","ANCASH","Hombre","Conviviente","Sí",30,30,230,0
"No","Medio","ANCASH","Hombre","Conviviente","No",24,70,280,105
"No","Medio","ANCASH","Hombre","Soltero/a","Sí",19,70,280,102
"No","Medio","ANCASH","Hombre","Conviviente","Sí",28,12,130,0
"No","Medio","ANCASH","Mujer","Conviviente","No",28,72,400,0
"No","Medio","ANCASH","Hombre","Soltero/a","Sí",23,48,240,60
"No","Medio","ANCASH","Mujer","Separado","Sí",38,16,30,0
"No","Medio","ANCASH","Hombre","Soltero/a","No",14,24,200,48
NA,"Medio","ANCASH","Hombre","Conviviente","Sí",20,39,NA,NA
"No","Medio","ANCASH","Mujer","Soltero/a","No",14,40,150,0
"No","Medio","ANCASH","Mujer","Conviviente","Sí",25,84,250,35
"No","Medio","ANCASH","Hombre","Conviviente","Sí",20,84,300,35
NA,"Medio bajo","ANCASH","Mujer","Soltero/a","Sí",52,84,NA,NA
NA,"Medio bajo","ANCASH","Mujer","Soltero/a","Sí",29,84,NA,NA
"No","Medio","ANCASH","Hombre","Casado/a","Sí",50,56,1200,0
NA,"Medio","ANCASH","Hombre","Soltero/a","No",20,70,NA,NA
NA,"Medio","ANCASH","Hombre","Casado/a","Sí",26,70,NA,NA
"Sí","Medio","ANCASH","Mujer","Casado/a","No",24,0,300,105
"No","Medio","ANCASH","Mujer","Soltero/a","Sí",54,14,150,12
"Sí","Medio","ANCASH","Mujer","Conviviente","Sí",33,50,250,0
"Sí","Medio","ANCASH","Mujer","Conviviente","Sí",29,50,230,0
"No","Medio","ANCASH","Hombre","Soltero/a","Sí",41,91,280,56
NA,"Medio bajo","ANCASH","Hombre","Viudo/a","Sí",31,56,NA,NA
NA,"Medio bajo","ANCASH","Mujer","Casado/a","Sí",54,36,NA,NA
NA,"Medio bajo","ANCASH","Hombre","Soltero/a","No",24,84,NA,NA
"No","Medio bajo","ANCASH","Hombre","Viudo/a","Sí",69,48,40,0
"No","Medio bajo","ANCASH","Mujer","Soltero/a","Sí",26,35,30,0
"No","Medio bajo","ANCASH","Mujer","Soltero/a","Sí",18,66,40,0
"No","Medio bajo","ANCASH","Hombre","Soltero/a","Sí",28,48,465,0
NA,"Medio bajo","ANCASH","Hombre","Conviviente","Sí",30,63,NA,NA
"No","Medio bajo","ANCASH","Hombre","Conviviente","Sí",34,0,180,0
"No","Medio bajo","ANCASH","Hombre","Soltero/a","Sí",27,0,180,0
"No","Medio bajo","ANCASH","Mujer","Soltero/a","Sí",28,72,200,0
NA,"Medio bajo","ANCASH","Hombre","Conviviente","No",25,42,NA,NA
NA,"Medio bajo","ANCASH","Hombre","Conviviente","Sí",35,70,NA,NA
"No","Medio bajo","ANCASH","Hombre","Conviviente","Sí",29,84,200,0
"No","Bajo","ANCASH","Hombre","Separado","Sí",41,48,740,0
"No","Bajo","ANCASH","Hombre","Conviviente","Sí",21,48,500,30
NA,"Medio bajo","ANCASH","Hombre","Conviviente","Sí",36,3,NA,NA
"Sí","Medio bajo","ANCASH","Mujer","Conviviente","Sí",33,51,330,0
"No","Medio bajo","ANCASH","Hombre","Soltero/a","Sí",26,42,210,48
"No","Medio bajo","ANCASH","Hombre","Conviviente","Sí",31,66,300,60
"No","Medio bajo","ANCASH","Mujer","Conviviente","Sí",34,66,300,42
"No","Medio bajo","ANCASH","Mujer","Soltero/a","Sí",41,82,307,0
NA,"Medio bajo","ANCASH","Hombre","Conviviente","Sí",22,72,NA,NA
NA,"Medio bajo","ANCASH","Mujer","Separado","No",48,18,NA,NA
"No","Medio bajo","ANCASH","Mujer","Soltero/a","No",23,40,200,0
NA,"Medio bajo","ANCASH","Hombre","Soltero/a","No",24,56,NA,NA
"Sí","Medio bajo","ANCASH","Hombre","Soltero/a","Sí",22,72,300,60
"Sí","Medio bajo","ANCASH","Hombre","Conviviente","Sí",31,42,230,42
NA,"Medio bajo","ANCASH","Mujer","Conviviente","Sí",26,48,NA,NA
NA,"Medio bajo","ANCASH","Hombre","Conviviente","No",40,56,NA,NA
NA,"Medio bajo","ANCASH","Hombre","Conviviente","Sí",38,55,NA,NA
"No","Medio bajo","ANCASH","Mujer","Conviviente","Sí",26,10,300,0
"No","Medio","ANCASH","Mujer","Soltero/a","No",26,60,40,10
"No","Medio","ANCASH","Hombre","Conviviente","Sí",32,0,300,0
NA,"Medio","ANCASH","Hombre","Soltero/a","Sí",27,56,NA,NA
"No","Medio","ANCASH","Mujer","Conviviente","No",45,70,240,56
"No","Medio","ANCASH","Hombre","Conviviente","Sí",34,0,50,0
"No","Medio","ANCASH","Mujer","Conviviente","No",29,0,300,0
"No","Medio","ANCASH","Hombre","Conviviente","Sí",37,26,300,0
"No","Medio","ANCASH","Hombre","Conviviente","Sí",50,66,350,0
"No","Medio","ANCASH","Mujer","Conviviente","Sí",40,39,200,0
"No","Medio bajo","ANCASH","Mujer","Conviviente","No",19,90,400,63
"No","Medio bajo","ANCASH","Hombre","Conviviente","Sí",21,48,420,60
"No","Medio bajo","ANCASH","Mujer","Conviviente","Sí",20,77,500,0
"No","Medio bajo","ANCASH","Hombre","Conviviente","Sí",24,84,500,0
"No","Medio bajo","ANCASH","Hombre","Soltero/a","Sí",28,33,120,24
"No","Medio bajo","ANCASH","Mujer","Conviviente","Sí",21,66,310,36
"No","Medio bajo","ANCASH","Hombre","Conviviente","Sí",22,66,500,18
"No","Medio bajo","ANCASH","Hombre","Soltero/a","Sí",18,82,450,45
"No","Medio bajo","ANCASH","Mujer","Conviviente","No",29,39,350,0
"No","Medio bajo","ANCASH","Hombre","Conviviente","Sí",32,39,250,0
"No","Medio bajo","ANCASH","Hombre","Soltero/a","Sí",21,78,360,0
"No","Medio bajo","ANCASH","Hombre","Conviviente","Sí",29,12,240,0
"No","Medio bajo","ANCASH","Mujer","Conviviente","Sí",31,72,300,0
NA,"Medio bajo","ANCASH","Hombre","Conviviente","Sí",24,24,NA,NA
"No","Medio bajo","ANCASH","Hombre","Conviviente","Sí",32,68,280,0
NA,"Medio bajo","ANCASH","Hombre","Conviviente","Sí",23,54,NA,NA
NA,"Medio bajo","ANCASH","Hombre","Conviviente","Sí",23,78,NA,NA
"No","Medio","ANCASH","Hombre","Conviviente","Sí",38,50,300,0
"No","Medio","ANCASH","Mujer","Soltero/a","Sí",49,77,300,56
"No","Medio","ANCASH","Mujer","Soltero/a","Sí",45,84,180,35
"No","Medio","ANCASH","Mujer","Soltero/a","Sí",52,82,180,0
"No","Medio","ANCASH","Mujer","Soltero/a","Sí",50,75,150,0
"No","Medio","ANCASH","Mujer","Conviviente","No",28,28,238,40
"No","Medio","ANCASH","Hombre","Conviviente","No",29,60,370,80
"Sí","Medio","ANCASH","Mujer","Separado","Sí",25,91,450,0
"Sí","Medio","ANCASH","Hombre","Conviviente","Sí",54,84,300,21
NA,"Medio","ANCASH","Mujer","Separado","No",32,30,NA,NA
"No","Medio","ANCASH","Mujer","Divorciado/a","Sí",47,16,80,0
NA,"Medio","ANCASH","Hombre","Conviviente","Sí",43,84,NA,NA
"Sí","Medio","ANCASH","Hombre","Conviviente","Sí",22,58,240,0
"No","Medio","ANCASH","Mujer","Conviviente","No",25,54,950,0
"No","Medio","ANCASH","Mujer","Conviviente","No",20,30,120,32
"No","Medio","ANCASH","Hombre","Conviviente","Sí",21,60,400,48
"No","Medio","ANCASH","Hombre","Conviviente","Sí",20,72,1300,96
NA,"Medio","ANCASH","Hombre","Conviviente","Sí",35,25,NA,NA
"No","Medio","ANCASH","Hombre","Conviviente","Sí",31,84,35,0
NA,"Medio","ANCASH","Mujer","Conviviente","Sí",29,12,NA,NA
NA,"Medio alto","ANCASH","Hombre","Soltero/a","Sí",25,77,NA,NA
"No","Medio alto","ANCASH","Mujer","Separado","No",24,70,300,40
NA,"Medio alto","ANCASH","Hombre","Casado/a","Sí",42,0,NA,NA
"No","Medio","ANCASH","Hombre","Conviviente","Sí",28,84,840,56
"Sí","Medio","ANCASH","Mujer","Conviviente","Sí",25,84,930,0
"Sí","Medio","ANCASH","Hombre","Soltero/a","Sí",19,60,1000,0
"No","Medio","ANCASH","Hombre","Conviviente","Sí",26,63,350,0
"No","Medio","ANCASH","Mujer","Conviviente","No",20,48,450,40
"Sí","Medio","ANCASH","Hombre","Casado/a","Sí",32,45,270,0
"No","Medio","ANCASH","Mujer","Casado/a","Sí",33,40,175,0
"No","Medio alto","ANCASH","Hombre","Conviviente","Sí",21,71,360,42
NA,"Alto","ANCASH","Hombre","Soltero/a","No",19,50,NA,NA
"No","Medio alto","ANCASH","Hombre","Soltero/a","Sí",29,60,300,0
NA,"Medio alto","ANCASH","Hombre","Divorciado/a","Sí",64,60,NA,NA
"No","Medio alto","ANCASH","Mujer","Soltero/a","No",24,66,240,0
"No","Medio alto","ANCASH","Hombre","Conviviente","Sí",29,63,350,0
"No","Medio alto","ANCASH","Mujer","Conviviente","No",31,56,560,0
